cryId,reco,true,Residual
441,1.28044,1.30104,-0.0205954
442,0.859494,0.908497,-0.0490033
443,1.00921,1.05089,-0.0416797
444,1.08302,1.13312,-0.0500995
445,1.31887,1.34793,-0.029061
446,1.05503,1.06734,-0.0123057
447,0.514676,0.510037,0.00463939
448,1.09439,1.13391,-0.0395202
449,0.932766,0.969665,-0.0368996
450,0.974054,1.01829,-0.0442322
451,0.892191,0.925925,-0.0337341
452,0.921875,0.884595,0.0372793
453,0.785079,0.762387,0.0226914
454,0.941521,0.891537,0.0499838
455,0.72533,0.7733,-0.0479698
456,1.07579,1.10571,-0.0299171
457,1.02236,1.02285,-0.00049302
458,0.842401,0.847896,-0.00549417
459,1.05213,1.07585,-0.0237268
460,1.16775,1.23168,-0.0639339
461,0.873894,0.881001,-0.00710704
462,1.04839,1.11225,-0.0638677
463,1.07023,1.04169,0.0285389
464,1.04274,1.06759,-0.0248525
465,0.825992,0.834015,-0.00802356
466,0.547472,0.553364,-0.0058917
467,0.885952,0.964388,-0.0784359
468,0.929971,1.05293,-0.12296
469,1.17061,1.24528,-0.0746684
470,1.15385,1.21004,-0.0561912
471,0.951486,0.975457,-0.0239711
472,0.792501,0.809377,-0.0168764
473,0.984205,1.00803,-0.023822
474,1.21907,1.27041,-0.0513432
475,0.766566,0.822038,-0.0554723
476,1.02144,1.07723,-0.055787
477,1.06576,1.0922,-0.0264376
478,0.809158,0.864192,-0.0550342
479,0.722118,0.724285,-0.00216693
480,0.490178,0.528468,-0.0382899
481,1.16182,1.15057,0.0112426
482,1.17603,1.19858,-0.0225413
483,0.701876,0.729648,-0.0277717
484,0.898847,0.911038,-0.012191
485,1.2516,1.25674,-0.00514356
486,0.861208,0.924587,-0.0633783
487,1.05681,1.01821,0.038596
488,1.29439,1.30298,-0.00858865
489,0.82463,0.890708,-0.0660777
490,1.08332,1.08074,0.00258051
491,1.04841,1.03372,0.0146914
492,1.20724,1.26414,-0.0568993
493,1.02274,1.02934,-0.00660424
494,1.10432,1.17071,-0.0663976
495,1.30471,1.41937,-0.114655
496,1.07709,1.08245,-0.00535935
497,0.848164,0.873436,-0.0252729
498,1.08399,1.06108,0.0229147
499,1.06051,1.11254,-0.0520344
500,0.933788,1.03637,-0.102584
501,0.871345,1.05868,-0.187339
502,0.899443,1.07381,-0.174364
503,1.15884,1.10106,0.057787
504,0.867776,1.05943,-0.191654
505,1.21896,1.49269,-0.273728
506,0.895674,1.11922,-0.223542
507,0.711477,0.864069,-0.152592
508,0.59652,0.677372,-0.0808522
509,0.678074,0.776136,-0.0980612
510,0.872726,0.980222,-0.107496
511,1.02622,1.27683,-0.250603
512,1.02921,0.994531,0.0346741
513,0.876496,0.950015,-0.0735187
514,1.12602,1.21179,-0.0857633
515,0.767102,0.826648,-0.0595459
516,1.08968,1.00099,0.0886826
517,0.790157,0.802935,-0.0127781
518,0.889881,0.863078,0.0268035
519,1.22878,1.1022,0.126579
520,1.40908,1.43113,-0.0220533
521,0.938222,0.898613,0.0396086
522,1.03744,1.09254,-0.0550992
523,0.915271,0.935374,-0.0201035
524,0.98182,0.955514,0.0263057
525,0.922699,0.987695,-0.0649958
526,0.915544,1.00538,-0.0898359
527,1.0648,1.0056,0.0591977
528,1.03927,0.959069,0.0802029
529,1.16901,1.21703,-0.0480185
530,1.03598,1.05971,-0.0237307
531,0.88773,0.874707,0.0130235
532,1.12337,1.11161,0.011766
533,1.20538,1.17874,0.0266375
534,0.830352,0.885196,-0.0548444
535,0.803745,0.796101,0.00764446
536,0.750758,0.778756,-0.0279973
537,1.0218,1.06993,-0.0481316
538,0.833138,0.845194,-0.0120562
539,1.26195,1.18979,0.0721667
540,1.01928,1.05414,-0.0348685
541,1.1808,1.20727,-0.0264777
542,0.293081,0.360509,-0.067428
543,1.12238,1.07865,0.043733
544,0.714758,0.69924,0.0155179
545,0.652293,0.712621,-0.0603286
546,1.21409,1.15153,0.0625628
547,1.18965,1.23311,-0.0434621
548,1.1524,1.26288,-0.110481
549,1.14994,1.26563,-0.11569
550,0.8446,0.925082,-0.0804823
551,0.939863,1.08457,-0.144707
552,0.948094,0.97574,-0.0276469
553,0.93972,0.977397,-0.0376769
554,0.871743,0.895434,-0.0236908
555,0.963291,0.96813,-0.00483935
556,0.968831,1.02174,-0.0529069
557,0.938042,0.990914,-0.0528724
558,1.0165,1.06099,-0.0444961
559,0.92613,0.957415,-0.0312849
560,1.03666,1.07747,-0.0408072
561,1.23701,1.30594,-0.0689347
562,1.33765,1.34027,-0.00261944
563,1.1635,1.20437,-0.0408702
564,0.689608,0.688057,0.00155122
565,1.32005,1.19529,0.124757
566,0.790262,0.859775,-0.0695133
567,1.23713,1.24878,-0.0116506
568,0.753342,0.74421,0.00913141
569,0.666051,0.690018,-0.0239669
570,0.933166,0.918491,0.014675
571,0.976365,1.01831,-0.041948
572,0.787278,0.776762,0.0105164
573,0.970665,1.0249,-0.0542298
574,1.15816,1.19283,-0.0346653
575,0.814613,0.839694,-0.0250814
576,0.862947,0.879073,-0.0161256
577,0.8065,0.825565,-0.0190656
578,1.01249,1.02129,-0.00879979
579,0.908254,0.864577,0.0436768
580,0.631167,0.638615,-0.00744802
581,0.75783,0.943588,-0.185759
582,0.905799,0.981805,-0.0760063
583,0.819373,0.842171,-0.0227984
584,0.911851,1.01988,-0.108029
585,0.636565,0.635401,0.00116359
586,0.931757,0.941866,-0.0101095
587,1.17718,1.31293,-0.135744
588,1.08868,1.03951,0.0491683
589,1.01394,1.05759,-0.043653
590,1.04171,1.0276,0.0141129
591,1.10553,0.973305,0.132228
592,1.12738,1.30656,-0.179187
593,1.02815,0.987145,0.0410097
594,0.537361,0.602314,-0.0649532
595,1.01736,1.21068,-0.193316
596,0.707483,0.893242,-0.185759
597,0.781643,0.985667,-0.204024
598,1.03378,1.01198,0.0217978
599,1.11658,1.18298,-0.0664008
600,1.20083,1.25955,-0.0587226
601,1.16788,1.1097,0.05818
602,0.514764,0.559368,-0.044604
603,1.28572,1.1851,0.100623
604,0.790969,0.852302,-0.0613334
605,1.13859,1.05485,0.0837365
606,1.00812,1.03929,-0.0311693
607,1.14225,1.15385,-0.0115992
608,0.600462,0.65407,-0.0536082
609,0.950608,1.0591,-0.108489
610,1.16711,1.19665,-0.0295478
611,0.921592,0.862947,0.0586455
612,1.13163,1.15867,-0.0270359
613,1.01958,1.04837,-0.0287932
614,1.1243,1.06428,0.0600252
615,0.960264,0.941118,0.0191468
616,1.08085,1.03575,0.0451026
617,0.81611,0.8804,-0.0642895
618,0.921724,0.907874,0.0138502
619,0.974213,0.962116,0.0120973
620,0.749805,0.751413,-0.00160762
621,0.846215,0.872508,-0.026293
622,1.07279,1.08257,-0.00978362
623,1.01297,1.1563,-0.143326
624,0.638993,0.648536,-0.00954328
625,0.810103,0.812817,-0.00271376
626,1.03536,1.0102,0.0251604
627,0.88409,0.881462,0.00262742
628,1.15124,1.18834,-0.0370925
629,1.01078,1.02431,-0.0135326
630,0.915584,0.906493,0.00909175
631,0.943307,0.892534,0.050773
632,0.691805,0.742773,-0.0509683
633,0.789387,0.785626,0.00376043
634,1.01243,1.06267,-0.0502341
635,1.06068,0.96226,0.0984194
636,0.833456,0.994479,-0.161023
637,0.769831,0.930929,-0.161099
638,0.968505,1.19104,-0.222532
639,0.841677,1.0499,-0.208219
640,0.900256,1.09712,-0.196865
641,0.93062,0.977699,-0.0470792
642,0.674236,0.804201,-0.129965
643,1.13685,1.20513,-0.0682827
644,0.947681,1.00543,-0.0577445
645,0.96477,1.10212,-0.137346
646,0.778165,0.936508,-0.158344
647,0.893502,1.10595,-0.212445
648,0.727491,0.859756,-0.132265
649,0.827031,0.892809,-0.0657773
650,0.952313,0.956858,-0.00454569
651,0.671711,0.691812,-0.0201016
652,0.827539,0.92858,-0.101042
653,0.990707,0.984279,0.0064276
654,0.472094,0.486084,-0.0139893
655,1.09883,1.10086,-0.00202334
656,0.943951,1.1242,-0.180245
657,0.773794,0.881311,-0.107517
658,0.86667,0.850678,0.0159916
659,1.05769,1.0138,0.0438985
660,1.17423,1.36,-0.185768
661,0.865132,0.89393,-0.0287979
662,1.46938,1.31806,0.15132
663,0.686148,0.744658,-0.0585098
664,0.791245,0.86663,-0.0753852
665,0.969906,1.09568,-0.12577
666,0.925075,0.901081,0.0239942
667,1.17111,1.10225,0.0688615
668,0.99944,1.16292,-0.163482
669,1.29086,1.4473,-0.156438
670,0.772453,0.774779,-0.002326
671,0.918292,0.953755,-0.0354633
672,0.964537,1.12335,-0.158808
673,0.818732,0.951838,-0.133107
