event,run,cluster_size
22846,1002,2,37.1265
22867,1002,3,33.4952
22881,1002,3,44.7287
22931,1002,5,44.709
23019,1002,6,37.7049
23053,1002,4,34.9625
23078,1002,3,37.7765
23134,1002,7,39.4258
23144,1002,4,31.8449
23149,1002,3,37.2961
23197,1002,4,25.0509
23273,1002,7,35.9736
23319,1002,5,43.1844
23330,1002,5,43.0438
23412,1002,6,25.9952
23427,1002,6,27.8267
23463,1002,4,39.8334
23509,1002,5,16.1584
23509,1002,5,15.9148
23530,1002,3,33.3635
23557,1002,8,24.1035
23646,1002,2,42.4427
23659,1002,3,34.089
23891,1002,3,31.365
23911,1002,5,41.1016
23953,1002,3,37.0766
24206,1002,4,37.763
24207,1002,3,17.6731
24293,1002,8,40.9312
24401,1002,4,34.5609
24481,1002,4,23.0874
24539,1002,5,39.7164
24605,1002,5,39.0135
24635,1002,6,42.2499
24638,1002,7,38.9727
24757,1002,3,34.545
24781,1002,4,37.9732
24898,1002,6,43.7298
24933,1002,7,35.139
24941,1002,4,33.4343
25053,1002,4,34.0367
25082,1002,4,39.9068
25188,1002,3,30.4643
25192,1002,3,33.5566
25232,1002,4,35.4187
25265,1002,5,34.1256
25267,1002,4,47.3363
25353,1002,8,37.1183
25381,1002,4,35.4323
25403,1002,6,29.1644
25427,1002,4,40.9159
25500,1002,7,44.3792
25513,1002,3,40.893
25593,1002,7,34.3396
25596,1002,7,46.5741
25785,1002,6,36.767
25852,1002,9,43.173
25979,1002,4,43.0856
25981,1002,2,48.0479
26006,1002,5,47.0358
26098,1002,3,33.5077
26103,1002,7,41.0149
26111,1002,5,38.4655
26168,1002,4,36.7751
26241,1002,8,34.837
26324,1002,3,42.216
26373,1002,3,21.6958
26505,1002,4,31.9933
26514,1002,4,19.0649
26698,1002,5,37.3176
26708,1002,8,32.5028
26777,1002,7,31.8019
26856,1002,5,45.7092
26936,1002,6,41.1704
26961,1002,3,34.288
26976,1002,2,38.403
27020,1002,6,41.1153
27070,1002,7,34.8416
27140,1002,6,35.4302
27325,1002,5,33.9229
27326,1002,6,34.3962
27330,1002,6,37.6147
27380,1002,3,22.1735
27395,1002,5,39.1514
27429,1002,8,36.1988
27508,1002,4,41.4764
27538,1002,5,42.6312
27577,1002,5,35.6016
27579,1002,3,36.7315
27583,1002,7,28.4761
27588,1002,4,32.0289
27658,1002,6,43.2013
27677,1002,5,32.0593
27730,1002,4,37.4497
27801,1002,5,36.2087
27856,1002,5,37.0989
27873,1002,4,37.9879
27973,1002,6,38.462
28012,1002,6,44.1959
28053,1002,4,31.4173
28130,1002,6,37.8276
28177,1002,7,41.0602
28243,1002,6,34.8241
28266,1002,6,36.2445
28493,1002,3,41.0092
28572,1002,2,26.4481
28625,1002,2,43.481
28637,1002,8,39.1326
28734,1002,4,35.7795
28794,1002,4,33.3853
28827,1002,7,43.3034
28909,1002,4,17.4549
28944,1002,7,39.0889
28946,1002,6,33.9509
28989,1002,5,34.861
29135,1002,6,43.8807
29157,1002,5,36.3118
29176,1002,3,34.3122
29198,1002,8,24.6653
29200,1002,2,32.4647
29228,1002,6,29.3219
29304,1002,7,39.5974
29329,1002,4,33.5281
29474,1002,2,33.2849
29586,1002,5,36.7302
29726,1002,4,22.8921
29780,1002,3,28.1279
29803,1002,1,14.1481
29805,1002,4,44.006
29831,1002,7,39.3701
29847,1002,5,35.9483
29878,1002,4,36.6567
29903,1002,5,35.1112
29940,1002,3,40.3658
30006,1002,5,32.3794
30191,1002,5,35.3075
30257,1002,7,43.8876
30342,1002,7,30.7081
30417,1002,4,34.028
30461,1002,4,30.9626
30474,1002,5,40.0782
30528,1002,3,36.0101
30576,1002,7,34.8158
30601,1002,3,39.5396
30645,1002,6,41.9991
30738,1002,5,43.1642
30784,1002,4,30.0919
30844,1002,2,31.7356
30874,1002,4,34.328
30929,1002,4,37.2256
30953,1002,3,39.7474
30979,1002,4,28.0543
31034,1002,5,38.2829
31178,1002,6,33.5779
31203,1002,8,37.0455
31286,1002,6,35.6019
31332,1002,9,36.9401
31367,1002,8,29.159
31424,1002,4,35.2056
31456,1002,6,30.9314
31463,1002,6,40.243
31567,1002,4,38.2417
31707,1002,2,35.7934
31756,1002,7,43.0963
31804,1002,8,40.992
31868,1002,3,32.4301
31930,1002,7,42.7463
31962,1002,6,29.6485
31976,1002,5,37.7573
32028,1002,6,22.1365
32028,1002,6,14.52
32051,1002,3,23.9148
32118,1002,3,36.3237
32233,1002,5,42.0971
32255,1002,7,42.3209
32384,1002,6,32.0109
32468,1002,2,27.5006
32484,1002,5,34.862
32538,1002,7,47.378
32588,1002,5,36.4128
32617,1002,8,34.6887
32706,1002,5,43.5478
32730,1002,5,36.1356
32860,1002,7,45.026
33046,1002,5,34.238
33073,1002,3,41.1273
33094,1002,5,40.1478
33219,1002,5,37.747
33282,1002,3,44.8373
33335,1002,8,32.3062
33384,1002,6,31.7843
33416,1002,5,33.1626
33421,1002,5,39.7698
33427,1002,5,34.4098
33441,1002,5,35.787
33442,1002,6,32.2428
33471,1002,4,39.7253
33537,1002,2,21.7356
33589,1002,3,28.8158
33706,1002,5,36.3004
33711,1002,8,37.5047
33801,1002,4,40.1313
33820,1002,4,23.6418
33886,1002,4,30.6836
33886,1002,4,12.3249
33920,1002,5,21.6137
34001,1002,3,23.1432
34040,1002,5,34.1353
34044,1002,2,30.9712
34068,1002,5,41.2068
34079,1002,5,38.6184
34097,1002,5,38.9046
34169,1002,4,41.6928
34179,1002,3,40.097
34203,1002,4,24.6383
34204,1002,3,41.1894
34245,1002,7,46.3304
34272,1002,5,28.5528
34373,1002,3,19.8307
34426,1002,2,32.5086
34514,1002,6,42.0948
34649,1002,11,47.2751
34728,1002,2,30.0126
34902,1002,4,37.6819
35055,1002,4,38.0929
35096,1002,5,40.7378
35181,1002,3,45.4408
35298,1002,4,40.4623
35494,1002,4,45.0967
35505,1002,4,30.3527
35512,1002,4,43.5146
35517,1002,7,42.7588
35520,1002,9,42.194
35524,1002,4,35.4724
35536,1002,4,40.9608
35582,1002,4,45.5636
35647,1002,4,26.1855
35650,1002,7,41.043
35813,1002,7,48.0494
35837,1002,3,27.8303
35850,1002,6,37.6946
35948,1002,4,40.0992
35953,1002,4,38.1636
35993,1002,6,46.2502
36012,1002,4,32.9584
36028,1002,8,42.6992
36108,1002,5,34.1413
36114,1002,6,43.3254
36151,1002,5,20.8626
36166,1002,4,40.1806
36195,1002,3,31.7848
36201,1002,1,36.9202
36227,1002,4,38.3181
36345,1002,4,19.8049
36470,1002,8,36.4432
36487,1002,2,49.3025
36710,1002,3,36.4976
36866,1002,4,30.3614
36867,1002,5,19.3809
36924,1002,4,32.2176
36924,1002,4,11.3096
36982,1002,5,42.2107
37000,1002,2,32.9329
37005,1002,4,33.6587
37038,1002,3,18.9468
37189,1002,4,39.3938
37220,1002,4,44.3932
37270,1002,6,40.5241
37408,1002,6,46.0266
37427,1002,4,42.4388
37511,1002,5,42.1342
37541,1002,4,39.9779
37546,1002,6,38.0471
37577,1002,5,41.8495
37676,1002,4,34.3744
37750,1002,8,43.9648
37846,1002,4,43.6472
37868,1002,3,37.7221
37896,1002,4,29.8727
37922,1002,5,32.0543
37947,1002,4,42.1476
37958,1002,2,37.41
37969,1002,7,41.4008
38237,1002,3,36.718
38333,1002,5,36.1644
38465,1002,4,31.8014
38487,1002,4,45.4161
38519,1002,5,43.7273
38521,1002,3,34.2803
38575,1002,7,44.455
38588,1002,6,43.1554
38607,1002,6,39.7689
38643,1002,5,39.2338
38674,1002,7,40.0954
38682,1002,5,44.8515
38712,1002,4,23.6673
38848,1002,4,30.566
38850,1002,4,20.3787
38850,1002,4,15.4612
38919,1002,4,38.9682
39088,1002,7,41.1802
39232,1002,3,40.2012
39432,1002,4,41.8123
39459,1002,3,31.2573
39465,1002,5,39.2463
39480,1002,4,47.1569
39512,1002,5,41.1304
39551,1002,2,43.5938
39657,1002,5,34.7314
39682,1002,5,39.5412
39737,1002,4,32.2405
39760,1002,3,38.6633
39832,1002,6,34.6128
39852,1002,6,35.6281
39914,1002,7,36.7653
39963,1002,2,25.3113
40092,1002,5,30.0467
40131,1002,7,37.0134
40185,1002,5,39.7277
40233,1002,6,21.1975
40249,1002,6,42.7105
40293,1002,7,31.4218
40356,1002,7,37.5549
40369,1002,4,44.2031
40450,1002,1,11.2099
40510,1002,3,18.3526
40686,1002,4,46.112
40725,1002,2,28.747
40761,1002,6,27.1624
40770,1002,3,44.483
40779,1002,2,28.9101
40909,1002,7,35.8604
40943,1002,6,37.4635
40985,1002,5,33.5143
41031,1002,3,24.847
41038,1002,6,39.6737
41103,1002,2,32.9138
41236,1002,5,38.8606
41279,1002,4,40.221
41625,1002,7,17.0465
41625,1002,7,10.429
41642,1002,7,38.5878
41687,1002,6,33.9534
41696,1002,4,38.0085
41699,1002,8,46.5069
41913,1002,5,42.2074
41978,1002,8,41.1999
42000,1002,3,28.7872
42006,1002,4,46.0059
42139,1002,6,25.0311
42168,1002,2,28.2527
42224,1002,5,31.5637
42273,1002,3,45.1607
42334,1002,4,35.4158
42361,1002,3,41.1356
42463,1002,2,34.2076
42502,1002,5,34.7251
